DEPTH,GR_EDTC,NPHI,AT10,AT20,AT30,AT60,AT90,RHOM,CMFF,TCMR,CMRP_3MS
6206.49,37.490738,0.00420634,436.8294,381.79645,662.3686,1324.4086,830.1949,2.7343383,0.016180549,2.6561494,0.02388517
6207.252,32.388012,0.0033731747,176.76335,142.4777,155.54448,204.3842,164.39786,2.7041829,0.0115391575,2.690818,0.023950476
6208.014,33.306152,0.01421498,142.67375,97.08166,105.263214,147.87949,125.51579,2.6299388,0.022396453,5.378368,0.045322675
6208.776,36.071117,0.006056774,204.77646,156.8135,176.43874,249.99953,189.75587,2.6880567,0.012002181,3.9076865,0.023211021
6209.538,34.24182,0.005918641,178.31995,140.29585,141.95828,187.04004,139.09822,2.639896,0.022959772,2.4258265,0.024254102
6210.3,38.892143,0.0105351275,102.54382,84.318634,80.080124,71.68645,58.93598,2.6555724,0.035791844,4.7091217,0.035810564
6211.062,27.57298,0.008935244,123.08264,91.51692,89.665215,97.31226,75.06945,2.6404402,0.009522832,4.411931,0.00959575
6211.824,38.096115,0.010397563,92.378006,73.69825,84.33397,109.748405,85.058174,2.649092,0.010663066,1.1061933,0.011049134
6212.586,36.78124,0.031337574,73.50008,64.789444,84.827446,196.95563,140.4351,2.5080676,0.03778153,5.1189575,0.037785627
6213.348,37.902515,0.029051518,164.3585,138.89774,214.55078,800.5801,380.97687,2.6194718,0.017201323,3.023379,0.02998853
6214.11,39.32568,0.026271181,126.79021,127.11787,179.84384,709.654,370.19315,2.619716,0.04892283,8.574239,0.06506011
6214.872,31.18451,0.029900003,125.82738,142.02327,202.004,745.6644,444.3739,2.6133075,0.023759974,3.2820714,0.032785863
6215.6343,35.109978,0.011551471,157.41759,208.09186,313.66,752.5448,475.67572,2.6830642,0.028484842,4.931805,0.039033365
6216.396,38.109035,0.0409661,122.64807,152.86359,213.42384,549.8663,331.1143,2.5607953,0.035676166,7.01543,0.050448406
6217.158,31.989302,0.018478408,122.2222,146.20363,190.82607,320.97098,207.34744,2.5811183,0.0302127,3.0232885,0.030228727
6217.92,44.03166,0.010835962,149.0863,205.28967,312.8195,669.1315,442.7624,2.6665626,0.008604206,3.0121393,0.014868308
6218.682,69.51382,0.0032824033,202.24133,95.02884,88.033516,73.21139,70.54644,2.669802,0.010146872,4.905161,0.034671362
6219.444,25.473976,0.08212962,32.99589,19.323877,16.227304,15.247739,15.095588,2.5029469,0.077572115,11.146792,0.07758561
6220.206,29.351103,0.07791538,21.033182,12.805552,12.3555975,12.935225,12.791609,2.5011702,0.057807475,11.024812,0.07980265
6220.9683,41.573486,0.034710843,32.512085,27.047411,26.262232,21.678799,20.809862,2.6043563,0.04663734,5.854439,0.05853914
6221.73,38.456802,0.045110542,15.830744,14.332945,14.673363,18.505318,17.319284,2.5206676,0.06419412,11.990149,0.10263689
6222.492,29.13774,0.0701625,25.15235,20.818954,21.45985,22.505213,21.539537,2.512506,0.084602684,10.200307,0.10199891
6223.254,42.78709,0.018842673,52.66691,40.393124,38.837914,42.482468,40.73908,2.6277351,0.044046447,7.029471,0.04407008
6224.016,40.55453,0.025360482,78.009445,47.200382,46.489017,49.981323,49.41609,2.6131873,0.038854785,6.213938,0.06213315
6224.778,39.63501,0.018415868,159.84349,84.626785,96.90501,130.66498,155.83495,2.6374328,0.034271695,6.380261,0.034277104
6225.54,43.815197,0.036048897,90.962654,90.47993,73.36256,51.934616,63.056763,2.6161122,0.04191022,6.0964756,0.04191431
6226.3022,40.364803,0.06817064,13.380659,11.68784,13.190121,13.563554,16.300982,2.5156882,0.07545673,9.205353,0.092039466
6227.064,34.82106,0.11351746,8.016684,7.231432,7.8397884,9.716922,11.028862,2.4726803,0.10051656,11.80258,0.1010497
6227.826,38.312828,0.02984918,24.467937,19.078857,20.640429,30.637836,39.173515,2.5950546,0.033027306,4.7954564,0.0463241
6228.588,37.28554,0.05923003,26.237066,21.249393,24.699453,32.31844,42.099537,2.5944984,0.090434454,9.3771925,0.09375829
6229.35,32.199093,0.05709423,57.325233,61.207382,66.88415,97.57284,118.79574,2.52223,0.07756815,10.346672,0.088703886
6230.112,34.93863,0.01499228,117.94011,123.62009,156.38455,340.91388,388.02957,2.6281092,0.0258884,9.010742,0.045642473
6230.874,31.789083,0.022326618,130.21817,139.78325,191.61249,502.59552,461.40588,2.581267,0.029231247,8.846748,0.052171912
6231.636,28.277033,0.016880333,90.108864,101.420074,131.9421,266.46216,222.90915,2.6634908,0.035027727,5.0903263,0.03503183
6232.398,32.816265,0.02532749,139.1377,135.52217,208.30309,1237.9553,1161.8362,2.5918393,0.03583929,3.7637672,0.035903145
6233.16,28.81581,0.024822796,89.82373,76.09724,110.66492,241.63716,298.9777,2.6514006,0.031145753,7.4065185,0.04683761
